四则运算题目.0	456/410=
四则运算题目.2113	244*592+42=
四则运算题目.2114	717/293*127=
四则运算题目.2115	332+182-318=
四则运算题目.2116	333*623*688=
四则运算题目.2117	274-621/837=
四则运算题目.2118	84*547=
四则运算题目.2119	818*434=
四则运算题目.2120	344*13=
四则运算题目.2121	170*351=
四则运算题目.2122	247/460*608=
四则运算题目.2123	439/532-977=
四则运算题目.2124	810/107=
四则运算题目.2125	663/78/963=
四则运算题目.2126	121-230/590=
四则运算题目.2127	826/392+67=
四则运算题目.2128	910*290-515=
四则运算题目.2129	938+103+762=
四则运算题目.2130	82/360/845=
四则运算题目.2131	566-864/392=
四则运算题目.2132	731-167=
四则运算题目.2133	959*438-463=
四则运算题目.2134	237*489/376=
四则运算题目.2135	655/922=
四则运算题目.2136	786*846/763=
四则运算题目.2137	861-48-852=
四则运算题目.2138	296-191-625=
四则运算题目.2139	805*136=
四则运算题目.2140	164+68=
四则运算题目.2141	641+345=
四则运算题目.2142	198-380=
四则运算题目.2143	527/416*433=
四则运算题目.2144	815/559=
四则运算题目.2145	594-524+938=
四则运算题目.2146	251+114-525=
四则运算题目.2147	370+252=
四则运算题目.2148	888+25/156=
四则运算题目.2149	555-140+710=
四则运算题目.2150	667*845/381=
四则运算题目.2151	185/85-617=
四则运算题目.2152	258-413=
四则运算题目.2153	245/376+816=
四则运算题目.2154	482-809-890=
四则运算题目.2155	312+265*668=
四则运算题目.2156	285+212-242=
四则运算题目.2157	303+993=
四则运算题目.2158	161/584-189=
四则运算题目.2159	902-16*905=
四则运算题目.2160	223+855-705=
四则运算题目.2161	297+770=
四则运算题目.2162	390-661+482=
四则运算题目.2163	118-442/607=
四则运算题目.2164	3*979=
四则运算题目.2165	225*256/407=
四则运算题目.2166	51/3*33=
四则运算题目.2167	419/475/802=
四则运算题目.2168	872+969=
四则运算题目.2169	641/976/654=
四则运算题目.2170	750-965=
四则运算题目.2171	688+945=
四则运算题目.2172	226*80*829=
四则运算题目.2173	334+652=
四则运算题目.2174	740*830=
四则运算题目.2175	424+995=
四则运算题目.2176	712-806*749=
四则运算题目.2177	957*794*750=
四则运算题目.2178	152+105+940=
四则运算题目.2179	981+848=
四则运算题目.2180	39+305+765=
四则运算题目.2181	981+662*434=
四则运算题目.2182	366-333*677=
四则运算题目.2183	691-685/265=
四则运算题目.2184	83+343=
四则运算题目.2185	979/179-265=
四则运算题目.2186	140+247=
四则运算题目.2187	718-121=
四则运算题目.2188	224*416=
四则运算题目.2189	495+731*603=
四则运算题目.2190	877+179+143=
四则运算题目.2191	765+845/163=
四则运算题目.2192	106/550=
四则运算题目.2193	531*826*3=
四则运算题目.2194	911*625+862=
四则运算题目.2195	342/368=
四则运算题目.2196	722-306=
四则运算题目.2197	380+76-918=
四则运算题目.2198	533*628-90=
四则运算题目.2199	180/501-456=
四则运算题目.2200	529+409/322=
四则运算题目.2201	892/102=
四则运算题目.2202	206+602=
四则运算题目.2203	666*443+630=
四则运算题目.2204	130-77/793=
四则运算题目.2205	410-564=
四则运算题目.2206	840-878-912=
四则运算题目.2207	192-43=
四则运算题目.2208	648+750=
四则运算题目.2209	356*964=
四则运算题目.2210	242/607-306=
四则运算题目.2211	582+157+982=
四则运算题目.2212	565+727=
四则运算题目.2213	729+528=
四则运算题目.2214	534*719*750=
四则运算题目.2215	533-227=
四则运算题目.2216	191+275=
四则运算题目.2217	30/811-848=
四则运算题目.2218	38-460+853=
四则运算题目.2219	350+502*343=
四则运算题目.2220	607*568+50=
四则运算题目.2221	396/504=
四则运算题目.2222	267/462/163=
四则运算题目.2223	762/869=
四则运算题目.2224	997+391=
四则运算题目.2225	251/640/320=
四则运算题目.2226	618*845-501=
四则运算题目.2227	646/809=
四则运算题目.2228	418+814/171=
四则运算题目.2229	453*622*107=
四则运算题目.2230	596+747*359=
四则运算题目.2231	470+803/902=
四则运算题目.2232	13/790-277=
四则运算题目.2233	620/319-328=
四则运算题目.2234	286+276-67=
四则运算题目.2235	729/997=
四则运算题目.2236	731*664=
四则运算题目.2237	475-994=
四则运算题目.2238	318-284=
四则运算题目.2239	741/27=
四则运算题目.2240	172-989=
四则运算题目.2241	353+653*896=
四则运算题目.2242	998/485*264=
四则运算题目.2243	315*775=
四则运算题目.2244	840*434/980=
四则运算题目.2245	54/227+228=
四则运算题目.2246	494-812=
四则运算题目.2247	576-230*498=
四则运算题目.2248	554*424/98=
四则运算题目.2249	252+958=
四则运算题目.2250	442*912-1000=
四则运算题目.2251	129*454+356=
四则运算题目.2252	676/907*287=
四则运算题目.2253	830+833=
四则运算题目.2254	858+68=
四则运算题目.2255	419-216=
四则运算题目.2256	935+358/771=
四则运算题目.2257	608-432/980=
四则运算题目.2258	406+796/718=
四则运算题目.2259	334/156+331=
四则运算题目.2260	267*49+70=
四则运算题目.2261	616+906+780=
四则运算题目.2262	509*598/477=
四则运算题目.2263	604*767*712=
四则运算题目.2264	143-169-213=
四则运算题目.2265	767-709*855=
四则运算题目.2266	977*599=
四则运算题目.2267	176-352/451=
四则运算题目.2268	452+781+279=
四则运算题目.2269	536-239-140=
四则运算题目.2270	582*994+940=
四则运算题目.2271	840/678=
四则运算题目.2272	869/6/936=
四则运算题目.2273	619-613=
四则运算题目.2274	198*996*909=
四则运算题目.2275	395+125=
四则运算题目.2276	227-636=
四则运算题目.2277	246-147+404=
四则运算题目.2278	992-231=
四则运算题目.2279	228+56=
四则运算题目.2280	630/626+954=
四则运算题目.2281	450+952/279=
四则运算题目.2282	676/5+352=
四则运算题目.2283	770*168=
四则运算题目.2284	562-866*464=
四则运算题目.2285	563/526=
四则运算题目.2286	497-516=
四则运算题目.2287	840*713-6=
四则运算题目.2288	764*215/450=
四则运算题目.2289	163/576*847=
四则运算题目.2290	112+592/552=
四则运算题目.2291	405/805=
四则运算题目.2292	616+585=
四则运算题目.2293	537*794+484=
四则运算题目.2294	529-238+801=
四则运算题目.2295	347+72=
四则运算题目.2296	407*554-880=
四则运算题目.2297	161+173=
四则运算题目.2298	119+120+976=
四则运算题目.2299	473-38/570=
四则运算题目.2300	986+696*283=
四则运算题目.2301	803/163*464=
四则运算题目.2302	814/628*48=
四则运算题目.2303	84/669+654=
四则运算题目.2304	532*860-685=
四则运算题目.2305	374-199=
四则运算题目.2306	360-24/193=
四则运算题目.2307	212+265=
四则运算题目.2308	378/765*140=
四则运算题目.2309	509-353=
四则运算题目.2310	359/547*859=
四则运算题目.2311	136+609*541=
四则运算题目.2312	708+57*586=
四则运算题目.2313	858+206+305=
四则运算题目.2314	916-828-738=
四则运算题目.2315	795/966/469=
四则运算题目.2316	406*630=
四则运算题目.2317	828+953/183=
四则运算题目.2318	440+27*631=
四则运算题目.2319	652/582=
四则运算题目.2320	381/655/765=
四则运算题目.2321	205/845-734=
四则运算题目.2322	721*284/994=
四则运算题目.2323	628+723=
四则运算题目.2324	838*354+687=
四则运算题目.2325	977-725=
四则运算题目.2326	270+598+79=
四则运算题目.2327	592-383-969=
四则运算题目.2328	497*34/411=
四则运算题目.2329	602+171*367=
四则运算题目.2330	336+967/562=
四则运算题目.2331	536-353-847=
四则运算题目.2332	352+221+231=
四则运算题目.2333	369*226/57=
四则运算题目.2334	55/439/600=
四则运算题目.2335	511+487*117=
四则运算题目.2336	574-840=
四则运算题目.2337	744/576+224=
四则运算题目.2338	572*99=
四则运算题目.2339	158+256-658=
四则运算题目.2340	710+759=
四则运算题目.2341	703-698+294=
四则运算题目.2342	680+140/612=
四则运算题目.2343	270*318+93=
四则运算题目.2344	847*876=
四则运算题目.2345	149+965-754=
四则运算题目.2346	728/64=
四则运算题目.2347	600/389=
四则运算题目.2348	806+608=
四则运算题目.2349	929*394+136=
四则运算题目.2350	775/850+341=
四则运算题目.2351	492+757=
四则运算题目.2352	685+396=
四则运算题目.2353	3*642*445=
四则运算题目.2354	971/732=
四则运算题目.2355	388/845/309=
四则运算题目.2356	656+309*734=
四则运算题目.2357	437*387/362=
四则运算题目.2358	387*70=
四则运算题目.2359	904/782-830=
四则运算题目.2360	379+747-460=
四则运算题目.2361	714*412=
四则运算题目.2362	453/240/732=
四则运算题目.2363	416-716-22=
四则运算题目.2364	648*174=
四则运算题目.2365	985+562/919=
四则运算题目.2366	883+858=
四则运算题目.2367	635*292*399=
四则运算题目.2368	309/855+572=
四则运算题目.2369	167/836/502=
四则运算题目.2370	366*438=
四则运算题目.2371	797*623=
四则运算题目.2372	96*355*159=
四则运算题目.2373	602*383/28=
四则运算题目.2374	821-344*616=
四则运算题目.2375	947*549+954=
四则运算题目.2376	149/624/295=
四则运算题目.2377	281-286+584=
四则运算题目.2378	448*999+385=
四则运算题目.2379	930+687/909=
四则运算题目.2380	629*90*246=
四则运算题目.2381	823-919-673=
四则运算题目.2382	295*393+131=
四则运算题目.2383	432*658/720=
四则运算题目.2384	946+158+490=
四则运算题目.2385	629+849=
四则运算题目.2386	999*271-579=
四则运算题目.2387	418+62*889=
四则运算题目.2388	710+624=
四则运算题目.2389	762+742=
四则运算题目.2390	289/427/427=
四则运算题目.2391	31/402=
四则运算题目.2392	40-971/216=
四则运算题目.2393	666/831+328=
四则运算题目.2394	28-536/409=
四则运算题目.2395	849/192+302=
四则运算题目.2396	851+820=
四则运算题目.2397	586-165=
四则运算题目.2398	240*909/978=
四则运算题目.2399	789+618-723=
四则运算题目.2400	678/388=
四则运算题目.2401	551*4-675=
四则运算题目.2402	366-398+580=
四则运算题目.2403	923/798+440=
四则运算题目.2404	997/779/7=
四则运算题目.2405	512+128*637=
四则运算题目.2406	102/29=
四则运算题目.2407	829*527-677=
四则运算题目.2408	768+528=
四则运算题目.2409	254/387-151=
四则运算题目.2410	945/340*536=
四则运算题目.2411	453-97/852=
四则运算题目.2412	696/750=
四则运算题目.2413	728*641=
四则运算题目.2414	790/658-351=
四则运算题目.2415	565+740+513=
四则运算题目.2416	126-420+28=
四则运算题目.2417	808-305+382=
四则运算题目.2418	492-513*898=
四则运算题目.2419	84+216*175=
四则运算题目.2420	48-713-971=
四则运算题目.2421	947/12-761=
四则运算题目.2422	913+968-344=
四则运算题目.2423	594/139/65=
四则运算题目.2424	261+632-316=
四则运算题目.2425	748*24+12=
四则运算题目.2426	562-623*735=
四则运算题目.2427	720/825+202=
四则运算题目.2428	289*252=
四则运算题目.2429	33-246*670=
四则运算题目.2430	962+981+748=
四则运算题目.2431	645-199+889=
四则运算题目.2432	785/408=
四则运算题目.2433	412-248/841=
四则运算题目.2434	85+907=
四则运算题目.2435	935/482/942=
四则运算题目.2436	929-807/339=
四则运算题目.2437	535/603/890=
四则运算题目.2438	28/449/213=
四则运算题目.2439	853-66=
四则运算题目.2440	312/81-523=
四则运算题目.2441	106/646*795=
四则运算题目.2442	112/259-368=
四则运算题目.2443	505+453=
四则运算题目.2444	142-852+625=
四则运算题目.2445	497-661=
四则运算题目.2446	835-497=
四则运算题目.2447	328+158+308=
四则运算题目.2448	671-25=
四则运算题目.2449	515-35+985=
四则运算题目.2450	882-616=
四则运算题目.2451	517*40=
四则运算题目.2452	516-305=
四则运算题目.2453	420/448/942=
四则运算题目.2454	151+596=
四则运算题目.2455	703+660+373=
四则运算题目.2456	831*153-618=
四则运算题目.2457	278+965/81=
四则运算题目.2458	860+545-93=
四则运算题目.2459	79/275=
四则运算题目.2460	929/816/820=
四则运算题目.2461	897-422*605=
四则运算题目.2462	503-211-616=
四则运算题目.2463	974+24+163=
四则运算题目.2464	213*406-825=
四则运算题目.2465	702*499*986=
四则运算题目.2466	745-295/388=
四则运算题目.2467	293-513+419=
四则运算题目.2468	124/299*475=
四则运算题目.2469	621/238=
四则运算题目.2470	682+17/767=
四则运算题目.2471	722+624=
四则运算题目.2472	210+793+991=
四则运算题目.2473	116+850*75=
四则运算题目.2474	694*693/991=
四则运算题目.2475	157/863=
四则运算题目.2476	188+634*729=
四则运算题目.2477	748-116=
四则运算题目.2478	940*640/758=
四则运算题目.2479	159+365+915=
四则运算题目.2480	23/186/708=
四则运算题目.2481	463*78=
四则运算题目.2482	79-555+82=
四则运算题目.2483	619-393=
四则运算题目.2484	455*982*486=
四则运算题目.2485	351+929-885=
四则运算题目.2486	138-656-560=
四则运算题目.2487	740-442-402=
四则运算题目.2488	765/896*929=
四则运算题目.2489	579+459+742=
四则运算题目.2490	314/112=
四则运算题目.2491	337+339*699=
四则运算题目.2492	323/211+32=
四则运算题目.2493	71/834/510=
四则运算题目.2494	35-878*631=
四则运算题目.2495	309/316=
四则运算题目.2496	567-675=
四则运算题目.2497	519+919=
四则运算题目.2498	157*333=
四则运算题目.2499	394*887*239=
四则运算题目.2500	520*438-320=
四则运算题目.2501	556+315=
四则运算题目.2502	887+755=
四则运算题目.2503	182*628-867=
四则运算题目.2504	751*644=
四则运算题目.2505	982*711=
四则运算题目.2506	593*621+65=
四则运算题目.2507	478*982/611=
四则运算题目.2508	432-927/761=
四则运算题目.2509	740-637/791=
四则运算题目.2510	398*783=
四则运算题目.2511	471*923=
四则运算题目.2512	843/445-484=
四则运算题目.2513	552-310-834=
四则运算题目.2514	108*889=
四则运算题目.2515	596+675=
四则运算题目.2516	433+543=
四则运算题目.2517	377*146=
四则运算题目.2518	156+317=
四则运算题目.2519	677*94=
四则运算题目.2520	616*344*20=
四则运算题目.2521	157-198=
四则运算题目.2522	417+250-559=
四则运算题目.2523	708*229/681=
四则运算题目.2524	628+647*766=
四则运算题目.2525	566-122=
四则运算题目.2526	256*464/617=
四则运算题目.2527	100/905-962=
四则运算题目.2528	896*27=
四则运算题目.2529	407+654=
四则运算题目.2530	337-44+765=
四则运算题目.2531	598*817*965=
四则运算题目.2532	931/859/898=
四则运算题目.2533	413-120*591=
四则运算题目.2534	280*291+841=
四则运算题目.2535	330+576/24=
四则运算题目.2536	217-421=
四则运算题目.2537	374/583+803=
四则运算题目.2538	778*757+228=
四则运算题目.2539	940-640*358=
四则运算题目.2540	423*125-402=
四则运算题目.2541	856/244*372=
四则运算题目.2542	673*833=
四则运算题目.2543	594*389=
四则运算题目.2544	46/364+522=
四则运算题目.2545	478-140+228=
四则运算题目.2546	24-559-683=
四则运算题目.2547	411+537+18=
四则运算题目.2548	332*805+301=
四则运算题目.2549	737-613=
四则运算题目.2550	995+961=
四则运算题目.2551	562/711-863=
四则运算题目.2552	80*912*403=
四则运算题目.2553	917+150+398=
四则运算题目.2554	334/28+524=
四则运算题目.2555	277/663-141=
四则运算题目.2556	971+312=
四则运算题目.2557	761/14+971=
四则运算题目.2558	808-249*275=
四则运算题目.2559	679-443+596=
四则运算题目.2560	553+432/998=
四则运算题目.2561	200*907/220=
四则运算题目.2562	258+599*52=
四则运算题目.2563	120-631-345=
四则运算题目.2564	962/998-949=
四则运算题目.2565	290/865+258=
四则运算题目.2566	186+327+119=
四则运算题目.2567	688/977-923=
四则运算题目.2568	89+845=
四则运算题目.2569	743-502-86=
四则运算题目.2570	728+778-503=
四则运算题目.2571	447-215=
四则运算题目.2572	568-512-287=
四则运算题目.2573	653+974+818=
四则运算题目.2574	194/615*552=
四则运算题目.2575	388*803=
四则运算题目.2576	562/754-401=
四则运算题目.2577	30-48=
四则运算题目.2578	233-713=
四则运算题目.2579	849-993=
四则运算题目.2580	858/777*825=
四则运算题目.2581	76-337/272=
四则运算题目.2582	37*738*513=
四则运算题目.2583	338/852=
四则运算题目.2584	683+73=
四则运算题目.2585	548-241-246=
四则运算题目.2586	747+233*688=
四则运算题目.2587	173+187+906=
四则运算题目.2588	553-125=
四则运算题目.2589	158+151=
四则运算题目.2590	873+112=
四则运算题目.2591	621+538=
四则运算题目.2592	106/481=
四则运算题目.2593	432/853/952=
四则运算题目.2594	888+278=
四则运算题目.2595	541*551+591=
四则运算题目.2596	581/657-336=
四则运算题目.2597	34-236-483=
四则运算题目.2598	793+371=
四则运算题目.2599	676*723+91=
四则运算题目.2600	514+997*80=
四则运算题目.2601	336-213=
四则运算题目.2602	678/895*24=
四则运算题目.2603	183+187/730=
四则运算题目.2604	84/706=
四则运算题目.2605	703*612*135=
四则运算题目.2606	659/165*903=
四则运算题目.2607	436/895=
四则运算题目.2608	860-742+251=
四则运算题目.2609	867+841-159=
四则运算题目.2610	688-613-591=
四则运算题目.2611	968*694/145=
四则运算题目.2612	638+54+270=
四则运算题目.2613	2-168+798=
四则运算题目.2614	457/730=
四则运算题目.2615	824*14*654=
四则运算题目.2616	134+188/921=
四则运算题目.2617	526*274*661=
四则运算题目.2618	454/459-734=
四则运算题目.2619	615*571=
四则运算题目.2620	988*293=
四则运算题目.2621	29/753=
四则运算题目.2622	245/503=
四则运算题目.2623	806/430*149=
四则运算题目.2624	749*933/154=
四则运算题目.2625	88+445+28=
四则运算题目.2626	248+910+253=
四则运算题目.2627	3/931-359=
四则运算题目.2628	656*597-70=
四则运算题目.2629	217-401-191=
四则运算题目.2630	466*573=
四则运算题目.2631	220+335=
四则运算题目.2632	425/626*416=
四则运算题目.2633	351*831/814=
四则运算题目.2634	278+12=
四则运算题目.2635	927/905*514=
四则运算题目.2636	768*140=
四则运算题目.2637	144*493+508=
四则运算题目.2638	888*879-20=
四则运算题目.2639	86*162/421=
四则运算题目.2640	443+462=
四则运算题目.2641	564-363*248=
四则运算题目.2642	896*12-882=
四则运算题目.2643	785*714=
四则运算题目.2644	825-379=
四则运算题目.2645	68-524+805=
四则运算题目.2646	727-188/572=
四则运算题目.2647	347*401=
四则运算题目.2648	932*193=
四则运算题目.2649	299-704/885=
四则运算题目.2650	371+613=
四则运算题目.2651	690/395=
四则运算题目.2652	89*489-249=
四则运算题目.2653	57*389=
四则运算题目.2654	579-900=
四则运算题目.2655	72/423*956=
四则运算题目.2656	160/490/70=
四则运算题目.2657	155*889-821=
四则运算题目.2658	671/908=
四则运算题目.2659	972-39-89=
四则运算题目.2660	714/624+868=
四则运算题目.2661	303/404/637=
四则运算题目.2662	647*540=
四则运算题目.2663	153+512-115=
四则运算题目.2664	253-741=
四则运算题目.2665	356-882=
四则运算题目.2666	578+76=
四则运算题目.2667	928-79-247=
四则运算题目.2668	664-682-831=
四则运算题目.2669	720*974=
四则运算题目.2670	239+476+650=
四则运算题目.2671	237*391+329=
四则运算题目.2672	547+861=
四则运算题目.2673	969*501/629=
四则运算题目.2674	948/832=
四则运算题目.2675	370*234=
四则运算题目.2676	865/711=
四则运算题目.2677	599-14-19=
四则运算题目.2678	157-114=
四则运算题目.2679	387/707-404=
四则运算题目.2680	237+735/518=
四则运算题目.2681	790*220=
四则运算题目.2682	621-597-219=
四则运算题目.2683	480-388=
四则运算题目.2684	601-850/453=
四则运算题目.2685	675/124=
四则运算题目.2686	612/669=
四则运算题目.2687	815/716=
四则运算题目.2688	353-746+737=
四则运算题目.2689	895/808+947=
四则运算题目.2690	104-912+127=
四则运算题目.2691	758/347+439=
四则运算题目.2692	118*139=
四则运算题目.2693	711*44+711=
四则运算题目.2694	221*507*125=
四则运算题目.2695	842*363*940=
四则运算题目.2696	853*154=
四则运算题目.2697	557/682*508=
四则运算题目.2698	144*358/969=
四则运算题目.2699	733*107=
四则运算题目.2700	755+840*219=
四则运算题目.2701	786-227-798=
四则运算题目.2702	863+2+280=
四则运算题目.2703	382-822+817=
四则运算题目.2704	428+33*110=
四则运算题目.2705	134-208*671=
四则运算题目.2706	858-231-574=
四则运算题目.2707	801/708=
四则运算题目.2708	214+84=
四则运算题目.2709	415-806=
四则运算题目.2710	826-750/972=
四则运算题目.2711	19+489=
四则运算题目.2712	150-830+777=
四则运算题目.2713	150-439=
四则运算题目.2714	151+859/185=
四则运算题目.2715	645*16=
四则运算题目.2716	690*601*643=
四则运算题目.2717	613+528=
四则运算题目.2718	149+486/486=
四则运算题目.2719	454*669/483=
四则运算题目.2720	500/2+214=
四则运算题目.2721	100/427/259=
四则运算题目.2722	114*170=
四则运算题目.2723	565-864+581=
四则运算题目.2724	953-87/712=
四则运算题目.2725	92-148/798=
四则运算题目.2726	744-855-681=
四则运算题目.2727	988*568-991=
四则运算题目.2728	146*862*672=
四则运算题目.2729	17-830*970=
四则运算题目.2730	761+733-290=
四则运算题目.2731	891+780*189=
四则运算题目.2732	280*786/697=
四则运算题目.2733	124+659+664=
四则运算题目.2734	920/835=
四则运算题目.2735	952*931+365=
四则运算题目.2736	399/711+133=
四则运算题目.2737	884+210-459=
四则运算题目.2738	564-288=
四则运算题目.2739	749*954/676=
四则运算题目.2740	518*52*420=
四则运算题目.2741	716-433-42=
四则运算题目.2742	283/53=
四则运算题目.2743	398*245+86=
四则运算题目.2744	771*977=
四则运算题目.2745	26-514/334=
四则运算题目.2746	413/885*627=
四则运算题目.2747	233+468+106=
四则运算题目.2748	667+719-473=
四则运算题目.2749	343*54=
四则运算题目.2750	660/713*150=
四则运算题目.2751	232-799=
四则运算题目.2752	237*31=
四则运算题目.2753	793/239*391=
四则运算题目.2754	846+194=
四则运算题目.2755	658+810*137=
四则运算题目.2756	386*396/457=
四则运算题目.2757	293-923/654=
四则运算题目.2758	956/870=
四则运算题目.2759	974/291+660=
四则运算题目.2760	267/281*494=
四则运算题目.2761	282/887=
四则运算题目.2762	437+625+55=
四则运算题目.2763	33/220=
四则运算题目.2764	350*971=
四则运算题目.2765	247+338=
四则运算题目.2766	19-31/461=
四则运算题目.2767	565-176*446=
四则运算题目.2768	919+949-446=
四则运算题目.2769	181/402+538=
四则运算题目.2770	592+573=
四则运算题目.2771	499-824-159=
四则运算题目.2772	481+255=
四则运算题目.2773	451+269+719=
四则运算题目.2774	710*940+275=
四则运算题目.2775	643/233=
四则运算题目.2776	50-101=
四则运算题目.2777	517+779/881=
四则运算题目.2778	308/913*430=
四则运算题目.2779	346*343=
四则运算题目.2780	298*1000*783=
四则运算题目.2781	898-701=
四则运算题目.2782	582+31*798=
四则运算题目.2783	892-25=
四则运算题目.2784	911/423=
四则运算题目.2785	73/750*815=
四则运算题目.2786	287-624/158=
四则运算题目.2787	70-982=
四则运算题目.2788	647/172=
四则运算题目.2789	467-899=
四则运算题目.2790	774*280-638=
四则运算题目.2791	617*764*948=
四则运算题目.2792	319+490=
四则运算题目.2793	549*366-572=
四则运算题目.2794	102+415=
四则运算题目.2795	926/864=
四则运算题目.2796	545/219=
四则运算题目.2797	509/562=
四则运算题目.2798	45*787/754=
四则运算题目.2799	337+124+839=
四则运算题目.2800	557/393+889=
四则运算题目.2801	481*386*815=
四则运算题目.2802	980+770-665=
四则运算题目.2803	733/920+162=
四则运算题目.2804	979+418=
四则运算题目.2805	116-10*299=
四则运算题目.2806	152-512=
四则运算题目.2807	565+529=
四则运算题目.2808	36*748/251=
四则运算题目.2809	175-516/656=
四则运算题目.2810	509/457*598=
四则运算题目.2811	9-893=
四则运算题目.2812	765/763+810=
四则运算题目.2813	144+172=
四则运算题目.2814	885*552+197=
四则运算题目.2815	436+654/942=
四则运算题目.2816	581-1+737=
四则运算题目.2817	544*250-576=
四则运算题目.2818	668*743=
四则运算题目.2819	618/824+117=
四则运算题目.2820	571-179/221=
四则运算题目.2821	827*750/510=
四则运算题目.2822	970/872=
四则运算题目.2823	461/852/440=
四则运算题目.2824	874+125=
四则运算题目.2825	331/970+982=
四则运算题目.2826	848/431*438=
四则运算题目.2827	848/721+868=
四则运算题目.2828	1+305+789=
四则运算题目.2829	490+307=
四则运算题目.2830	925/490-875=
四则运算题目.2831	843-106+48=
四则运算题目.2832	65-179-65=
四则运算题目.2833	211*407/225=
四则运算题目.2834	239-822+634=
四则运算题目.2835	370*959=
四则运算题目.2836	61-422-496=
四则运算题目.2837	869*160*626=
四则运算题目.2838	867*551*571=
四则运算题目.2839	743-705*935=
四则运算题目.2840	263+517+104=
四则运算题目.2841	3-830=
四则运算题目.2842	55/110+722=
四则运算题目.2843	5/91*609=
四则运算题目.2844	633*536=
四则运算题目.2845	912/831*472=
四则运算题目.2846	844/193-433=
四则运算题目.2847	443+727*967=
四则运算题目.2848	998*36-361=
四则运算题目.2849	179*330=
四则运算题目.2850	880*805-650=
四则运算题目.2851	582*261-829=
四则运算题目.2852	107+84*179=
四则运算题目.2853	124*410=
四则运算题目.2854	875*33+261=
四则运算题目.2855	355*991+489=
四则运算题目.2856	85+868+136=
四则运算题目.2857	575+202-268=
四则运算题目.2858	140*825=
四则运算题目.2859	469/531+326=
四则运算题目.2860	85/466/339=
四则运算题目.2861	322+205+901=
四则运算题目.2862	422/432-825=
四则运算题目.2863	36*68-319=
四则运算题目.2864	660/745-582=
四则运算题目.2865	653+5=
四则运算题目.2866	747+405*423=
四则运算题目.2867	391*355/21=
四则运算题目.2868	331/744=
四则运算题目.2869	599-993*162=
四则运算题目.2870	119+805*355=
四则运算题目.2871	118+885/492=
四则运算题目.2872	185+892=
四则运算题目.2873	216/334/317=
四则运算题目.2874	382+461-322=
四则运算题目.2875	304*66-425=
四则运算题目.2876	259*83=
四则运算题目.2877	74+173*645=
四则运算题目.2878	48-630*319=
四则运算题目.2879	423+892-497=
四则运算题目.2880	666/363-67=
四则运算题目.2881	934*751=
四则运算题目.2882	903*211/686=
四则运算题目.2883	240*401/88=
四则运算题目.2884	712*92*427=
四则运算题目.2885	648-407-862=
四则运算题目.2886	769-429+578=
四则运算题目.2887	198+675-470=
四则运算题目.2888	703+236=
四则运算题目.2889	447-996=
四则运算题目.2890	832-952=
四则运算题目.2891	593+586-988=
四则运算题目.2892	702-100=
四则运算题目.2893	46+108=
四则运算题目.2894	503/448/467=
四则运算题目.2895	928/218=
四则运算题目.2896	287*407=
四则运算题目.2897	972-779=
四则运算题目.2898	875-885=
四则运算题目.2899	385-802*523=
四则运算题目.2900	591+703*644=
四则运算题目.2901	192*811+216=
四则运算题目.2902	228+555/916=
四则运算题目.2903	898-606*971=
四则运算题目.2904	481+921-815=
四则运算题目.2905	228-181-968=
四则运算题目.2906	538+133/401=
四则运算题目.2907	119+557=
四则运算题目.2908	792/532-835=
四则运算题目.2909	931/240*723=
四则运算题目.2910	305/33-797=
四则运算题目.2911	389+843-343=
四则运算题目.2912	67/797+817=
四则运算题目.2913	172+222*154=
四则运算题目.2914	762+348+886=
四则运算题目.2915	825*336=
四则运算题目.2916	714/238-116=
四则运算题目.2917	666-622-873=
四则运算题目.2918	122/560*567=
四则运算题目.2919	8/382-416=
四则运算题目.2920	940*155*849=
四则运算题目.2921	820*215=
四则运算题目.2922	327*242=
四则运算题目.2923	349-111-76=
四则运算题目.2924	262-844=
四则运算题目.2925	966/939=
四则运算题目.2926	885-300*206=
四则运算题目.2927	427-228=
四则运算题目.2928	785+203=
四则运算题目.2929	495-690+251=
四则运算题目.2930	561*793=
四则运算题目.2931	515*375*496=
四则运算题目.2932	354-581=
四则运算题目.2933	691*75/542=
四则运算题目.2934	127-405/685=
四则运算题目.2935	808-67+243=
四则运算题目.2936	341-809+121=
四则运算题目.2937	986/963=
四则运算题目.2938	822/117-30=
四则运算题目.2939	945-709-25=
四则运算题目.2940	718/803-215=
四则运算题目.2941	733-550*749=
四则运算题目.2942	880-540=
四则运算题目.2943	552+45*867=
四则运算题目.2944	529*495=
四则运算题目.2945	980-516=
四则运算题目.2946	962/753=
四则运算题目.2947	911/849*56=
四则运算题目.2948	729-490/99=
四则运算题目.2949	16/285=
四则运算题目.2950	816/171+727=
四则运算题目.2951	936*554-21=
四则运算题目.2952	78+58-697=
四则运算题目.2953	54*212+750=
四则运算题目.2954	607-192=
四则运算题目.2955	212/357/251=
四则运算题目.2956	814/431*24=
四则运算题目.2957	195+505/876=
四则运算题目.2958	54*59+989=
四则运算题目.2959	730*235=
四则运算题目.2960	528/176=
四则运算题目.2961	927*322=
四则运算题目.2962	526/248/437=
四则运算题目.2963	379/223/421=
四则运算题目.2964	388-941=
四则运算题目.2965	943+426=
四则运算题目.2966	370/361=
四则运算题目.2967	548-247+950=
四则运算题目.2968	851/878+585=
四则运算题目.2969	931*187+223=
